STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00207222,"SAGINAW NUMBER 3, MI US",1/1/2020,0,32,23
USC00207222,"SAGINAW NUMBER 3, MI US",1/2/2020,0,39,23
USC00207222,"SAGINAW NUMBER 3, MI US",1/3/2020,0,47,34
USC00207222,"SAGINAW NUMBER 3, MI US",1/4/2020,0,38,31
USC00207222,"SAGINAW NUMBER 3, MI US",1/5/2020,0,32,29
USC00207222,"SAGINAW NUMBER 3, MI US",1/6/2020,0.01,35,28
USC00207222,"SAGINAW NUMBER 3, MI US",1/7/2020,0,40,28
USC00207222,"SAGINAW NUMBER 3, MI US",1/8/2020,0,38,20
USC00207222,"SAGINAW NUMBER 3, MI US",1/9/2020,0,23,14
USC00207222,"SAGINAW NUMBER 3, MI US",1/10/2020,0,47,19
USC00207222,"SAGINAW NUMBER 3, MI US",1/11/2020,1.27,47,32
USC00207222,"SAGINAW NUMBER 3, MI US",1/12/2020,0.77,32,17
USC00207222,"SAGINAW NUMBER 3, MI US",1/13/2020,0,26,18
USC00207222,"SAGINAW NUMBER 3, MI US",1/14/2020,0,34,25
USC00207222,"SAGINAW NUMBER 3, MI US",1/15/2020,0,36,31
USC00207222,"SAGINAW NUMBER 3, MI US",1/16/2020,0,36,30
USC00207222,"SAGINAW NUMBER 3, MI US",1/17/2020,0,30,19
USC00207222,"SAGINAW NUMBER 3, MI US",1/18/2020,0.4,28,19
USC00207222,"SAGINAW NUMBER 3, MI US",1/19/2020,0.19,35,19
USC00207222,"SAGINAW NUMBER 3, MI US",1/20/2020,0,22,11
USC00207222,"SAGINAW NUMBER 3, MI US",1/21/2020,0,25,10
USC00207222,"SAGINAW NUMBER 3, MI US",1/22/2020,0,29,16
USC00207222,"SAGINAW NUMBER 3, MI US",1/23/2020,0,33,18
USC00207222,"SAGINAW NUMBER 3, MI US",1/24/2020,0.22,40,29
USC00207222,"SAGINAW NUMBER 3, MI US",1/25/2020,0.4,36,33
USC00207222,"SAGINAW NUMBER 3, MI US",1/26/2020,0.07,36,32
USC00207222,"SAGINAW NUMBER 3, MI US",1/27/2020,0,36,32
USC00207222,"SAGINAW NUMBER 3, MI US",1/28/2020,0,36,31
USC00207222,"SAGINAW NUMBER 3, MI US",1/29/2020,0,31,27
USC00207222,"SAGINAW NUMBER 3, MI US",1/30/2020,0,29,27
USC00207222,"SAGINAW NUMBER 3, MI US",1/31/2020,0,31,27
USC00207222,"SAGINAW NUMBER 3, MI US",2/1/2020,0,33,28
USC00207222,"SAGINAW NUMBER 3, MI US",2/2/2020,0.09,33,30
USC00207222,"SAGINAW NUMBER 3, MI US",2/3/2020,0,44,27
USC00207222,"SAGINAW NUMBER 3, MI US",2/4/2020,0,44,27
USC00207222,"SAGINAW NUMBER 3, MI US",2/5/2020,0,36,18
USC00207222,"SAGINAW NUMBER 3, MI US",2/6/2020,0.04,30,18
USC00207222,"SAGINAW NUMBER 3, MI US",2/7/2020,0.21,28,22
USC00207222,"SAGINAW NUMBER 3, MI US",2/8/2020,0,31,16
USC00207222,"SAGINAW NUMBER 3, MI US",2/9/2020,0,28,16
USC00207222,"SAGINAW NUMBER 3, MI US",2/10/2020,0.19,33,25
USC00207222,"SAGINAW NUMBER 3, MI US",2/11/2020,0,31,23
USC00207222,"SAGINAW NUMBER 3, MI US",2/12/2020,0,34,22
USC00207222,"SAGINAW NUMBER 3, MI US",2/13/2020,0.1,33,21
USC00207222,"SAGINAW NUMBER 3, MI US",2/15/2020,0,21,4
USC00207222,"SAGINAW NUMBER 3, MI US",2/16/2020,0.02,32,8
USC00207222,"SAGINAW NUMBER 3, MI US",2/17/2020,0,39,16
USC00207222,"SAGINAW NUMBER 3, MI US",2/18/2020,0.24,36,17
USC00207222,"SAGINAW NUMBER 3, MI US",2/19/2020,0,37,16
USC00207222,"SAGINAW NUMBER 3, MI US",2/20/2020,0,,10
USC00207222,"SAGINAW NUMBER 3, MI US",2/21/2020,0,25,11
USC00207222,"SAGINAW NUMBER 3, MI US",2/22/2020,0,34,15
USC00207222,"SAGINAW NUMBER 3, MI US",2/23/2020,0,43,26
USC00207222,"SAGINAW NUMBER 3, MI US",2/24/2020,0,50,30
USC00207222,"SAGINAW NUMBER 3, MI US",2/25/2020,0,43,30
USC00207222,"SAGINAW NUMBER 3, MI US",2/26/2020,0.02,43,27
USC00207222,"SAGINAW NUMBER 3, MI US",2/27/2020,0.2,27,18
USC00207222,"SAGINAW NUMBER 3, MI US",2/28/2020,0,24,18
USC00207222,"SAGINAW NUMBER 3, MI US",2/29/2020,0,26,19
USC00207222,"SAGINAW NUMBER 3, MI US",3/1/2020,0,35,19
USC00207222,"SAGINAW NUMBER 3, MI US",3/2/2020,0,47,24
USC00207222,"SAGINAW NUMBER 3, MI US",3/3/2020,0,51,26
USC00207222,"SAGINAW NUMBER 3, MI US",3/4/2020,0,44,30
USC00207222,"SAGINAW NUMBER 3, MI US",3/5/2020,0,42,22
USC00207222,"SAGINAW NUMBER 3, MI US",3/6/2020,0.08,49,28
USC00207222,"SAGINAW NUMBER 3, MI US",3/7/2020,0,33,18
USC00207222,"SAGINAW NUMBER 3, MI US",3/8/2020,0,47,19
USC00207222,"SAGINAW NUMBER 3, MI US",3/9/2020,0,62,34
USC00207222,"SAGINAW NUMBER 3, MI US",3/10/2020,0.31,59,34
USC00207222,"SAGINAW NUMBER 3, MI US",3/11/2020,0,51,33
USC00207222,"SAGINAW NUMBER 3, MI US",3/12/2020,0,43,35
USC00207222,"SAGINAW NUMBER 3, MI US",3/13/2020,0,53,38
USC00207222,"SAGINAW NUMBER 3, MI US",3/14/2020,0,44,29
USC00207222,"SAGINAW NUMBER 3, MI US",3/15/2020,0,35,26
USC00207222,"SAGINAW NUMBER 3, MI US",3/16/2020,0,35,21
USC00207222,"SAGINAW NUMBER 3, MI US",3/17/2020,0,47,21
USC00207222,"SAGINAW NUMBER 3, MI US",3/18/2020,0,49,30
USC00207222,"SAGINAW NUMBER 3, MI US",3/19/2020,0,48,30
USC00207222,"SAGINAW NUMBER 3, MI US",3/20/2020,0.63,59,31
USC00207222,"SAGINAW NUMBER 3, MI US",3/21/2020,0,46,20
USC00207222,"SAGINAW NUMBER 3, MI US",3/22/2020,0,32,16
USC00207222,"SAGINAW NUMBER 3, MI US",3/23/2020,0.14,44,17
USC00207222,"SAGINAW NUMBER 3, MI US",3/24/2020,0,41,29
USC00207222,"SAGINAW NUMBER 3, MI US",3/25/2020,0,49,31
USC00207222,"SAGINAW NUMBER 3, MI US",3/26/2020,0,56,33
USC00207222,"SAGINAW NUMBER 3, MI US",3/27/2020,0,51,34
USC00207222,"SAGINAW NUMBER 3, MI US",3/28/2020,0.42,54,35
USC00207222,"SAGINAW NUMBER 3, MI US",3/29/2020,0.79,52,39
USC00207222,"SAGINAW NUMBER 3, MI US",3/30/2020,0,61,40
USC00207222,"SAGINAW NUMBER 3, MI US",3/31/2020,0,44,37
USC00207222,"SAGINAW NUMBER 3, MI US",4/1/2020,0.02,40,37
USC00207222,"SAGINAW NUMBER 3, MI US",4/2/2020,0,48,35
USC00207222,"SAGINAW NUMBER 3, MI US",4/3/2020,0,63,34
USC00207222,"SAGINAW NUMBER 3, MI US",4/4/2020,0,60,34
USC00207222,"SAGINAW NUMBER 3, MI US",4/5/2020,0.01,53,32
USC00207222,"SAGINAW NUMBER 3, MI US",4/6/2020,0,53,31
USC00207222,"SAGINAW NUMBER 3, MI US",4/7/2020,0,61,31
USC00207222,"SAGINAW NUMBER 3, MI US",4/8/2020,0.24,62,45
USC00207222,"SAGINAW NUMBER 3, MI US",4/9/2020,0.15,68,37
USC00207222,"SAGINAW NUMBER 3, MI US",4/10/2020,0,47,31
USC00207222,"SAGINAW NUMBER 3, MI US",4/11/2020,0,45,30
USC00207222,"SAGINAW NUMBER 3, MI US",4/12/2020,0.01,58,32
USC00207222,"SAGINAW NUMBER 3, MI US",4/13/2020,0.12,65,46
USC00207222,"SAGINAW NUMBER 3, MI US",4/14/2020,0,52,29
USC00207222,"SAGINAW NUMBER 3, MI US",4/15/2020,0,39,27
USC00207222,"SAGINAW NUMBER 3, MI US",4/16/2020,0,40,24
USC00207222,"SAGINAW NUMBER 3, MI US",4/17/2020,0,42,26
USC00207222,"SAGINAW NUMBER 3, MI US",4/18/2020,0,41,30
USC00207222,"SAGINAW NUMBER 3, MI US",4/19/2020,0,57,31
USC00207222,"SAGINAW NUMBER 3, MI US",4/20/2020,0,58,27
USC00207222,"SAGINAW NUMBER 3, MI US",4/21/2020,0.02,59,29
USC00207222,"SAGINAW NUMBER 3, MI US",4/22/2020,0,39,25
USC00207222,"SAGINAW NUMBER 3, MI US",4/23/2020,0,37,27
USC00207222,"SAGINAW NUMBER 3, MI US",4/24/2020,0.02,46,27
USC00207222,"SAGINAW NUMBER 3, MI US",4/25/2020,0,52,27
USC00207222,"SAGINAW NUMBER 3, MI US",4/26/2020,0,57,34
USC00207222,"SAGINAW NUMBER 3, MI US",4/27/2020,0,58,32
USC00207222,"SAGINAW NUMBER 3, MI US",4/28/2020,0.02,63,36
USC00207222,"SAGINAW NUMBER 3, MI US",4/29/2020,1.17,72,48
USC00207222,"SAGINAW NUMBER 3, MI US",4/30/2020,0.29,65,49
USC00207222,"SAGINAW NUMBER 3, MI US",5/1/2020,0.17,56,41
USC00207222,"SAGINAW NUMBER 3, MI US",5/2/2020,0.01,66,42
USC00207222,"SAGINAW NUMBER 3, MI US",5/3/2020,0,76,53
USC00207222,"SAGINAW NUMBER 3, MI US",5/4/2020,0,71,40
USC00207222,"SAGINAW NUMBER 3, MI US",5/5/2020,0,58,33
USC00207222,"SAGINAW NUMBER 3, MI US",5/6/2020,0,52,36
USC00207222,"SAGINAW NUMBER 3, MI US",5/7/2020,0,63,38
USC00207222,"SAGINAW NUMBER 3, MI US",5/8/2020,0,58,34
USC00207222,"SAGINAW NUMBER 3, MI US",5/9/2020,0,42,28
USC00207222,"SAGINAW NUMBER 3, MI US",5/10/2020,0,53,29
USC00207222,"SAGINAW NUMBER 3, MI US",5/11/2020,0.6,49,34
USC00207222,"SAGINAW NUMBER 3, MI US",5/12/2020,0,50,28
USC00207222,"SAGINAW NUMBER 3, MI US",5/13/2020,0,57,28
USC00207222,"SAGINAW NUMBER 3, MI US",5/14/2020,0.05,64,36
USC00207222,"SAGINAW NUMBER 3, MI US",5/15/2020,1.12,62,45
USC00207222,"SAGINAW NUMBER 3, MI US",5/16/2020,0.07,74,48
USC00207222,"SAGINAW NUMBER 3, MI US",5/17/2020,0,61,49
USC00207222,"SAGINAW NUMBER 3, MI US",5/18/2020,1.67,61,50
USC00207222,"SAGINAW NUMBER 3, MI US",5/19/2020,1.52,55,52
USC00207222,"SAGINAW NUMBER 3, MI US",5/20/2020,0.05,66,49
USC00207222,"SAGINAW NUMBER 3, MI US",5/21/2020,0,74,47
USC00207222,"SAGINAW NUMBER 3, MI US",5/22/2020,,,
USC00207222,"SAGINAW NUMBER 3, MI US",5/23/2020,0,77,59
USC00207222,"SAGINAW NUMBER 3, MI US",5/24/2020,0.08,78,61
USC00207222,"SAGINAW NUMBER 3, MI US",5/25/2020,0,86,62
USC00207222,"SAGINAW NUMBER 3, MI US",5/26/2020,,88,66
USC00207222,"SAGINAW NUMBER 3, MI US",5/27/2020,0,92,68
USC00207222,"SAGINAW NUMBER 3, MI US",5/28/2020,0,90,69
USC00207222,"SAGINAW NUMBER 3, MI US",5/29/2020,0.04,80,64
USC00207222,"SAGINAW NUMBER 3, MI US",5/30/2020,0.38,72,53
USC00207222,"SAGINAW NUMBER 3, MI US",5/31/2020,0,66,41
USC00207222,"SAGINAW NUMBER 3, MI US",6/1/2020,0,65,43
USC00207222,"SAGINAW NUMBER 3, MI US",6/2/2020,0,75,53
USC00207222,"SAGINAW NUMBER 3, MI US",6/3/2020,0.11,89,65
USC00207222,"SAGINAW NUMBER 3, MI US",6/4/2020,0,85,60
USC00207222,"SAGINAW NUMBER 3, MI US",6/5/2020,0,86,58
USC00207222,"SAGINAW NUMBER 3, MI US",6/6/2020,0,86,61
USC00207222,"SAGINAW NUMBER 3, MI US",6/7/2020,0,77,55
USC00207222,"SAGINAW NUMBER 3, MI US",6/8/2020,0,74,52
USC00207222,"SAGINAW NUMBER 3, MI US",6/9/2020,0,86,56
USC00207222,"SAGINAW NUMBER 3, MI US",6/10/2020,0.11,94,65
USC00207222,"SAGINAW NUMBER 3, MI US",6/11/2020,1.83,88,57
USC00207222,"SAGINAW NUMBER 3, MI US",6/12/2020,0.15,75,50
USC00207222,"SAGINAW NUMBER 3, MI US",6/13/2020,0,75,46
USC00207222,"SAGINAW NUMBER 3, MI US",6/14/2020,0,66,46
USC00207222,"SAGINAW NUMBER 3, MI US",6/15/2020,0,68,47
USC00207222,"SAGINAW NUMBER 3, MI US",6/16/2020,0,74,52
USC00207222,"SAGINAW NUMBER 3, MI US",6/17/2020,0,83,56
