,Alcona,Alger,Allegan,Alpena,Antrim,Arenac,Baraga,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Gladwin,Gogebic,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Iosco,Iron,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Keweenaw,Lake,Lapeer,Leelanau,Lenawee,Livingston,Luce,Mackinac,Macomb,Manistee,Marquette,Mason,Mecosta,Menominee,Midland,Missaukee,Monroe,Montcalm,Montmorency,Muskegon,Newaygo,Oakland,Oceana,Ogemaw,Ontonagon,Osceola,Oscoda,Otsego,Ottawa,Presque Isle,Roscommon,Saginaw,Sanilac,Schoolcraft,Shiawassee,St Clair,St Joseph,Tuscola,Van Buren,Washtenaw,Wayne,Wexford
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
2020-03-06,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,10,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,5,6,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,13,0
2020-03-09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,5,22,0
2020-03-10,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,33,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,34,0,0,0,0,0,1,0,2,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9,47,1
2020-03-12,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,9,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,75,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,10,42,0
2020-03-13,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,2,0,14,1,0,0,0,1,0,0,7,0,0,0,0,4,1,0,2,0,0,1,0,0,2,0,0,66,0,0,0,0,0,4,0,1,1,0,0,0,92,0,0,0,0,0,2,2,0,0,2,0,0,1,1,0,0,0,15,70,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,10,0,0,1,0,0,0,0,8,0,1,0,1,3,0,0,2,0,0,2,0,3,9,0,0,50,1,0,0,0,0,1,0,0,0,0,1,0,98,0,0,0,0,0,2,1,0,0,1,1,0,0,3,1,0,1,20,77,0
2020-03-15,0,0,1,0,0,0,0,1,2,0,2,0,2,0,0,0,0,1,5,0,0,0,1,0,21,0,0,1,0,0,0,0,3,0,1,0,2,5,1,0,5,0,0,1,0,1,4,0,0,68,0,1,0,0,0,0,0,3,1,0,3,0,132,0,0,0,0,0,3,1,0,0,3,0,0,0,1,1,1,0,24,89,0
2020-03-16,0,0,0,0,2,0,0,0,1,0,4,0,2,0,0,0,0,0,4,0,0,0,4,2,34,0,0,0,1,1,0,1,11,2,0,0,0,10,4,0,6,0,0,0,0,2,14,0,0,98,1,0,0,0,0,2,0,4,0,0,2,0,158,0,0,0,0,1,2,3,0,0,5,0,0,3,4,0,0,3,26,146,0
2020-03-17,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,3,0,1,0,5,0,40,1,1,0,0,2,0,0,11,0,0,0,1,4,1,1,11,0,0,4,0,0,12,0,0,109,0,1,0,0,0,0,0,2,0,0,1,0,219,1,0,0,0,0,1,5,0,1,4,0,0,1,8,0,0,2,35,169,0
2020-03-18,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,3,1,1,0,2,2,22,0,0,0,0,0,1,0,11,0,0,0,2,5,6,0,5,0,0,1,0,8,18,0,1,128,0,1,0,0,0,3,0,2,0,1,3,0,213,0,1,0,1,0,2,5,1,1,5,3,0,3,8,0,1,1,35,198,0
2020-03-19,0,0,0,1,0,0,0,0,3,0,3,0,3,0,1,0,0,0,5,0,1,0,4,0,26,0,1,0,0,2,0,0,11,0,0,0,2,13,1,1,4,0,0,1,0,2,12,0,0,111,0,1,0,0,0,0,0,4,0,0,1,0,189,0,0,0,1,0,2,3,0,0,8,1,0,0,5,0,0,0,27,177,0
2020-03-20,0,0,1,0,0,0,0,0,2,0,4,0,4,0,0,1,0,0,9,0,2,0,3,1,53,0,0,0,1,4,0,1,12,1,0,0,2,4,4,2,5,0,0,5,0,0,16,1,0,121,0,1,0,1,0,0,0,7,1,0,3,0,228,0,1,0,0,0,4,6,0,0,3,2,0,3,5,0,1,0,32,239,0
2020-03-21,0,0,0,0,1,0,0,0,1,0,6,0,2,2,0,1,0,0,3,0,0,0,1,0,34,0,0,1,0,2,0,0,6,0,0,0,0,2,2,1,10,0,0,2,0,1,6,0,0,113,0,1,0,0,0,0,1,9,0,0,0,0,163,0,0,0,0,1,2,4,0,1,10,1,0,3,13,0,0,0,36,178,0
2020-03-22,0,0,0,0,1,0,0,1,5,0,3,1,2,0,1,2,0,0,3,0,0,1,6,1,38,0,0,1,1,1,0,0,3,0,0,0,0,6,4,1,8,0,0,3,0,2,15,0,0,120,0,0,0,0,0,3,0,13,0,0,2,0,186,1,0,0,0,0,0,1,0,0,6,1,0,0,8,0,1,0,28,165,1
2020-03-23,0,0,0,0,1,0,0,3,3,1,4,0,4,0,1,0,0,0,6,1,0,0,9,0,59,1,0,3,1,1,0,1,21,3,1,0,0,7,7,1,7,0,0,6,0,4,22,0,0,181,0,0,1,1,0,1,0,8,0,0,2,0,289,0,1,0,0,0,0,2,0,1,11,1,1,2,7,2,1,0,41,259,0
2020-03-24,0,0,1,0,0,2,0,1,1,0,5,1,2,0,1,1,0,1,4,2,1,0,6,1,59,0,0,1,0,2,1,0,17,0,0,0,1,8,7,0,10,0,0,2,0,1,8,0,0,153,1,1,1,0,0,3,0,1,3,0,3,0,225,0,0,0,0,0,2,2,0,0,13,1,0,1,9,2,2,1,35,210,1
2020-03-25,0,0,3,0,0,1,0,0,5,0,5,1,3,2,0,0,0,0,6,0,0,1,5,4,39,0,0,0,0,0,0,3,17,1,0,0,1,6,9,2,14,0,0,4,1,2,14,0,0,167,0,0,0,0,0,0,0,4,3,0,2,2,207,0,0,0,0,0,0,4,0,1,11,2,0,2,13,1,3,0,39,259,0
2020-03-26,0,0,0,0,0,0,0,2,1,0,3,2,3,1,0,1,0,0,3,0,0,0,5,1,58,0,1,1,0,3,0,0,16,0,0,0,2,7,6,1,15,0,1,4,0,0,13,0,0,138,3,1,0,0,0,1,0,10,2,0,2,0,242,0,0,0,1,0,3,5,0,0,15,1,0,3,10,1,6,2,26,222,2
2020-03-27,0,0,6,0,0,0,0,0,2,0,9,0,8,3,0,1,0,0,2,1,0,0,5,3,52,0,0,1,0,3,0,0,13,0,0,0,0,14,6,0,18,0,0,7,1,4,15,0,2,175,0,0,0,0,0,0,0,10,0,0,4,2,252,1,1,0,1,0,2,2,0,1,16,1,0,3,13,2,4,1,33,274,1
2020-03-28,0,0,1,0,2,0,0,0,3,0,3,1,6,2,0,0,0,1,2,1,2,0,6,2,27,0,0,1,0,1,0,0,14,0,1,0,0,3,8,1,13,0,0,9,1,3,6,0,1,134,1,3,1,0,0,0,0,10,0,0,6,0,216,0,0,0,0,0,0,4,0,0,8,1,0,0,6,0,3,2,28,212,0
2020-03-29,0,0,0,1,1,0,0,0,6,0,2,1,5,0,0,1,0,0,2,0,0,0,4,0,33,1,0,1,0,3,0,0,12,1,0,0,1,9,8,1,31,0,0,3,0,2,4,0,0,138,0,3,0,1,0,1,0,7,2,0,2,1,162,0,0,0,0,0,0,5,0,1,10,0,0,2,9,0,0,1,34,172,0
2020-03-30,0,0,3,0,0,2,0,0,5,0,7,0,10,1,2,1,0,1,3,0,0,0,5,1,61,0,0,1,1,3,0,0,21,0,0,0,1,11,6,0,16,0,0,7,0,3,6,0,1,223,0,2,2,1,0,2,1,12,2,0,5,2,313,1,1,0,1,1,0,1,0,2,17,1,0,1,9,1,3,1,26,356,1
2020-03-31,0,0,1,0,0,0,0,1,8,0,5,2,5,1,0,0,0,0,3,0,0,0,3,0,47,0,0,1,0,3,0,1,9,4,0,0,1,5,5,1,18,0,0,9,1,2,11,0,0,183,1,5,0,2,0,0,0,17,5,0,3,0,262,0,0,0,0,0,0,2,1,0,15,1,0,2,11,4,0,1,30,300,0
2020-04-01,0,0,1,0,0,1,0,1,3,0,11,4,7,3,1,0,0,0,9,1,0,0,7,1,57,0,0,0,0,13,0,0,13,3,1,0,1,15,11,2,17,0,0,8,0,3,20,0,0,209,1,2,1,2,0,2,0,10,0,0,8,1,319,0,0,0,0,1,1,8,0,1,21,1,0,3,15,1,6,0,30,326,0
2020-04-02,1,0,2,0,0,0,0,0,2,0,8,3,3,0,0,1,0,0,3,2,0,0,2,0,44,0,0,0,0,7,0,0,16,2,0,0,2,8,12,1,11,0,0,6,0,2,15,0,0,172,2,0,0,0,0,1,0,11,6,0,1,1,227,1,0,0,0,0,3,5,1,0,11,1,0,4,9,0,4,1,18,251,0
