,Allegan,Alpena,Antrim,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Lapeer,Leelanau,Lenawee,Livingston,Macomb,Marquette,Mason,Mecosta,Midland,Monroe,Montcalm,Muskegon,Newaygo,Oakland,Oceana,Osceola,Otsego,Ottawa,Roscommon,Saginaw,Sanilac,Shiawassee,St. Clair,St. Joseph,Tuscola,Van Buren,Washtenaw,Wayne,Wexford
2020-03-01,106.82,100.09,171.21,110.23,114.66,145.82,131.45,123.85,105.93,111.16,149.68,169.59,115.04,154.3,123.88,185.48,110.17,115.54,118.53,137.24,100.24,112.03,129.6,108.17,161.11,95.29,86.87,124.44,117.02,105.6,96.73,156.21,91.38,100.78,157.51,100.47,94.03,89.14,107.24,115.69,120.61,104.64,107.74,117.4,96.89,99.57,87.75,127.8,156.97,157.8,95.63,172.13,108.53,109.57,115.36,99.53,104.47,94.85,128.24,78.58,98.2,157.79
2020-03-02,109.35,120.22,109.51,110.17,108.75,124.91,115.3,123.02,104.14,107.47,114.91,135.14,120.24,126.56,103.93,113.15,115.25,115.84,114.9,116.36,112.69,114.29,114.06,106.27,121.48,123.22,81.86,113.64,104.71,108.97,102.28,113.67,102.49,110.01,118.67,107.25,105.74,109.57,108.6,110.78,117.73,115.38,115.32,119.71,108.46,111.11,107.75,115.15,123.17,117.74,105.07,111.82,118.58,119.44,112.34,111.69,112.83,104.09,112.87,91.45,113.5,120.79
2020-03-03,106.46,135.63,116.0,113.33,109.48,120.46,122.77,117.39,110.6,109.02,127.63,124.7,119.4,128.48,104.75,107.51,114.52,121.31,111.11,117.16,116.28,117.82,117.79,116.71,121.64,134.22,84.95,114.17,105.77,111.2,104.54,105.39,106.71,116.0,119.25,106.25,106.05,111.86,106.4,121.19,110.79,116.03,115.81,113.47,114.31,110.8,116.4,126.75,119.79,118.38,106.07,117.17,119.25,120.28,117.8,115.22,128.26,111.46,118.59,94.4,119.12,117.49
2020-03-04,111.09,147.07,119.34,115.79,113.48,111.03,122.31,120.44,115.56,111.62,111.4,134.23,106.82,127.12,109.76,132.79,123.58,114.14,118.28,113.98,116.57,119.11,126.25,118.08,130.51,133.88,89.89,118.99,117.32,115.95,107.94,121.27,112.52,109.81,122.89,104.17,105.22,113.44,105.46,135.22,112.13,125.51,116.98,121.31,115.54,118.95,113.11,134.61,117.72,119.79,112.13,116.38,124.91,117.56,120.39,114.82,117.99,109.58,119.87,94.38,120.22,127.56
2020-03-05,121.25,129.69,122.82,121.41,125.52,120.28,133.71,125.43,119.25,110.32,113.18,156.16,116.02,132.2,118.49,152.95,128.52,124.5,124.87,121.69,123.13,118.43,136.53,123.89,140.44,134.43,94.06,130.85,129.22,126.37,112.9,140.04,119.72,118.1,124.16,118.32,111.18,114.53,108.09,129.94,126.68,124.25,122.74,134.05,114.07,114.03,118.07,128.67,121.52,148.95,114.73,146.83,127.79,133.7,121.99,124.27,128.23,123.73,129.52,105.09,123.22,123.75
2020-03-06,146.59,168.42,182.75,137.68,158.08,140.3,175.05,148.02,144.84,138.95,155.38,207.58,131.48,184.58,149.08,215.8,162.42,152.49,149.28,157.25,141.27,146.67,166.7,141.13,210.66,143.44,107.79,171.55,150.16,150.98,129.46,180.08,137.1,128.18,143.01,130.59,136.83,129.01,139.98,151.21,160.59,141.14,146.86,151.66,139.15,128.41,132.66,166.44,202.14,190.37,134.47,193.26,154.01,133.1,144.84,139.1,150.69,129.9,157.58,113.76,144.69,195.14
2020-03-07,155.88,175.99,192.33,146.9,164.62,185.59,179.12,146.48,140.9,132.37,184.0,208.11,151.37,187.62,158.62,174.12,144.44,132.87,161.25,167.21,147.61,154.27,159.62,148.27,160.13,150.41,113.76,181.12,123.14,148.26,135.11,167.18,141.67,146.16,223.58,146.88,140.13,131.96,151.51,150.23,130.78,141.32,150.19,150.42,137.94,125.26,133.17,191.18,158.07,180.94,142.3,183.22,154.31,137.64,154.87,143.9,148.03,136.75,169.85,112.65,141.9,186.79
2020-03-08,114.16,126.59,153.77,106.47,121.59,148.67,149.81,111.35,114.36,108.28,136.79,181.46,127.76,153.81,127.76,199.49,117.61,99.3,116.11,125.74,106.56,119.2,128.95,100.8,130.51,99.45,97.97,138.23,87.54,110.38,103.1,156.88,97.74,113.83,171.45,106.11,106.75,92.69,124.26,110.26,104.07,102.31,117.23,111.51,96.95,99.09,90.08,135.09,154.62,147.45,103.7,166.64,114.96,91.61,121.05,107.86,123.1,91.82,143.62,95.18,103.33,157.48
2020-03-09,105.22,125.39,113.77,111.37,113.73,105.34,117.66,112.86,108.11,105.71,113.07,134.01,127.13,119.88,110.6,112.21,109.06,99.2,111.24,107.41,112.85,116.91,119.39,109.53,111.15,120.83,98.93,116.34,78.86,122.06,110.71,116.17,106.17,106.01,107.92,109.06,101.02,107.96,115.96,121.12,86.73,111.73,113.98,116.27,106.91,105.99,106.01,124.16,116.41,110.5,110.27,107.79,117.34,110.41,114.88,108.94,116.02,107.3,115.63,100.19,110.93,115.74
2020-03-10,117.92,129.86,110.75,121.7,117.62,110.23,116.79,114.22,118.49,114.73,114.85,122.6,128.32,124.33,114.84,137.92,123.88,121.91,116.02,125.48,119.13,118.29,118.74,110.22,112.69,132.04,111.37,122.85,85.14,118.84,120.57,128.59,123.3,109.35,114.22,108.08,110.32,113.9,116.51,134.69,89.37,121.56,116.81,114.75,117.26,107.49,114.08,140.08,122.0,116.09,121.79,119.42,127.29,120.47,117.75,113.34,130.18,111.18,119.58,108.7,117.86,117.72
2020-03-11,112.26,130.21,121.51,127.69,110.25,112.01,113.07,118.61,110.87,105.96,108.18,130.63,99.86,117.21,113.07,120.24,117.17,115.24,114.26,101.68,114.53,110.25,132.15,113.75,99.76,133.95,104.01,117.87,74.78,111.89,110.04,112.99,111.31,102.09,103.41,110.03,100.91,104.7,122.45,119.31,84.63,109.5,113.34,116.73,112.39,105.75,104.35,119.85,109.52,122.51,112.79,109.58,119.22,104.98,108.98,107.37,116.1,109.31,114.52,97.42,109.39,111.04
