,Allegan,Genesee,Grand Traverse,Ingham,Kent,Marquette,Midland,Saginaw,Washtenaw,Wayne
2020-03-01,55.0,34.0,50.0,47.0,52.0,42.0,48.0,35.0,36.0,44.0
2020-03-02,50.0,47.0,43.0,50.0,46.0,34.0,49.0,47.0,47.0,53.0
2020-03-03,41.0,48.0,43.0,45.0,39.0,34.0,42.0,51.0,53.0,50.0
2020-03-04,40.0,47.0,37.0,45.0,42.0,32.0,43.0,44.0,50.0,48.0
2020-03-05,50.0,43.0,46.0,49.0,48.0,33.0,47.0,42.0,48.0,48.0
2020-03-06,39.0,48.0,36.0,36.0,36.0,26.0,37.0,49.0,50.0,37.0
2020-03-07,49.0,33.0,48.0,46.0,48.0,45.0,45.0,33.0,36.0,45.0
2020-03-08,63.0,46.0,58.0,62.0,62.0,54.0,60.0,47.0,46.0,61.0
2020-03-09,57.0,60.0,56.0,59.0,57.0,40.0,58.0,62.0,61.0,63.0
2020-03-10,55.0,62.0,36.0,53.0,52.0,33.0,50.0,59.0,61.0,54.0
2020-03-11,42.0,48.0,42.0,41.0,41.0,42.0,41.0,51.0,52.0,45.0
2020-03-12,54.0,47.0,49.0,54.0,53.0,34.0,51.0,43.0,43.0,50.0
2020-03-13,43.0,51.0,42.0,50.0,42.0,33.0,49.0,53.0,52.0,49.0
2020-03-14,37.0,43.0,33.0,37.0,36.0,24.0,35.0,44.0,49.0,37.0
2020-03-15,46.0,36.0,38.0,44.0,44.0,32.0,35.0,35.0,38.0,46.0
2020-03-16,43.0,41.0,43.0,46.0,43.0,32.0,44.0,35.0,47.0,47.0
2020-03-17,39.0,45.0,43.0,48.0,44.0,34.0,49.0,47.0,48.0,53.0
2020-03-18,46.0,47.0,40.0,47.0,45.0,38.0,44.0,49.0,52.0,46.0
2020-03-19,63.0,46.0,51.0,58.0,60.0,35.0,48.0,48.0,46.0,53.0
2020-03-20,60.0,62.0,43.0,61.0,61.0,31.0,56.0,59.0,62.0,65.0
2020-03-21,35.0,50.0,29.0,33.0,34.0,30.0,30.0,46.0,62.0,39.0
2020-03-22,39.0,33.0,40.0,39.0,38.0,33.0,41.0,32.0,39.0,39.0
2020-03-23,41.0,40.0,42.0,38.0,38.0,38.0,44.0,44.0,40.0,44.0
2020-03-24,50.0,38.0,48.0,44.0,47.0,46.0,44.0,41.0,44.0,43.0
2020-03-25,54.0,46.0,59.0,56.0,57.0,40.0,54.0,49.0,45.0,57.0
2020-03-26,51.0,55.0,41.0,54.0,52.0,37.0,51.0,56.0,57.0,60.0
2020-03-27,54.0,54.0,51.0,51.0,51.0,48.0,49.0,51.0,58.0,46.0
2020-03-28,52.0,53.0,50.0,49.0,48.0,45.0,42.0,54.0,51.0,51.0
2020-03-29,58.0,54.0,55.0,58.0,55.0,35.0,59.0,52.0,50.0,63.0
2020-03-30,42.0,61.0,40.0,42.0,41.0,34.0,44.0,61.0,62.0,48.0
2020-03-31,44.0,43.0,43.0,41.0,42.0,33.0,,44.0,45.0,44.0
2020-04-01,48.0,41.0,51.0,49.0,49.0,44.0,49.0,40.0,43.0,50.0
2020-04-02,54.0,47.0,54.0,60.0,60.0,53.0,61.0,48.0,49.0,61.0
2020-04-03,64.0,58.0,61.0,63.0,66.0,56.0,57.0,63.0,60.0,65.0
2020-04-04,53.0,57.0,48.0,52.0,51.0,38.0,50.0,60.0,63.0,60.0
2020-04-05,54.0,56.0,47.0,54.0,57.0,50.0,54.0,53.0,58.0,58.0
2020-04-06,60.0,52.0,55.0,62.0,63.0,47.0,59.0,53.0,58.0,57.0
2020-04-07,72.0,59.0,62.0,72.0,74.0,46.0,56.0,61.0,61.0,71.0
2020-04-08,60.0,67.0,62.0,67.0,63.0,51.0,66.0,62.0,72.0,72.0
2020-04-09,46.0,67.0,44.0,48.0,44.0,33.0,47.0,68.0,71.0,50.0
2020-04-10,40.0,45.0,38.0,43.0,41.0,33.0,44.0,47.0,48.0,47.0
2020-04-11,59.0,43.0,57.0,57.0,58.0,52.0,57.0,45.0,45.0,58.0
2020-04-12,65.0,54.0,51.0,63.0,62.0,38.0,61.0,58.0,58.0,61.0
2020-04-13,54.0,62.0,53.0,54.0,53.0,29.0,54.0,65.0,61.0,55.0
2020-04-14,38.0,52.0,36.0,39.0,37.0,26.0,38.0,52.0,53.0,44.0
2020-04-15,36.0,39.0,37.0,36.0,35.0,29.0,39.0,39.0,44.0,40.0
2020-04-16,41.0,36.0,42.0,41.0,40.0,34.0,42.0,40.0,39.0,44.0
2020-04-17,40.0,39.0,49.0,38.0,39.0,40.0,41.0,42.0,44.0,36.0
2020-04-18,54.0,41.0,58.0,55.0,54.0,52.0,56.0,41.0,35.0,54.0
2020-04-19,53.0,55.0,48.0,60.0,57.0,34.0,56.0,57.0,54.0,64.0
2020-04-20,58.0,59.0,58.0,58.0,56.0,45.0,58.0,58.0,63.0,58.0
2020-04-21,41.0,58.0,37.0,42.0,41.0,29.0,44.0,59.0,58.0,48.0
2020-04-22,47.0,39.0,38.0,36.0,40.0,35.0,38.0,39.0,43.0,38.0
2020-04-23,52.0,38.0,42.0,42.0,46.0,43.0,46.0,37.0,38.0,44.0
2020-04-24,52.0,40.0,49.0,54.0,55.0,50.0,52.0,46.0,45.0,59.0
2020-04-25,54.0,52.0,56.0,55.0,54.0,53.0,55.0,52.0,58.0,55.0
2020-04-26,65.0,56.0,59.0,61.0,65.0,47.0,60.0,57.0,56.0,62.0
2020-04-27,62.0,59.0,60.0,63.0,60.0,50.0,60.0,58.0,64.0,63.0
2020-04-28,71.0,61.0,58.0,71.0,71.0,44.0,70.0,63.0,63.0,68.0
2020-04-29,60.0,70.0,57.0,64.0,60.0,39.0,,72.0,71.0,69.0
2020-04-30,52.0,65.0,47.0,55.0,50.0,53.0,57.0,65.0,67.0,55.0
2020-05-01,58.0,57.0,62.0,65.0,66.0,67.0,64.0,56.0,52.0,66.0
2020-05-02,69.0,62.0,73.0,75.0,70.0,69.0,74.0,66.0,66.0,80.0
2020-05-03,66.0,76.0,66.0,71.0,67.0,46.0,71.0,76.0,79.0,73.0
2020-05-04,53.0,71.0,46.0,58.0,59.0,39.0,56.0,71.0,73.0,59.0
2020-05-05,54.0,55.0,50.0,52.0,54.0,50.0,49.0,58.0,59.0,52.0
2020-05-06,55.0,53.0,60.0,61.0,61.0,54.0,60.0,52.0,51.0,61.0
2020-05-07,57.0,60.0,50.0,62.0,59.0,39.0,57.0,63.0,61.0,66.0
2020-05-08,43.0,59.0,39.0,44.0,44.0,31.0,44.0,58.0,65.0,46.0
2020-05-09,51.0,40.0,53.0,51.0,51.0,47.0,52.0,42.0,46.0,53.0
2020-05-10,54.0,51.0,42.0,56.0,53.0,33.0,47.0,53.0,52.0,61.0
2020-05-11,45.0,54.0,43.0,48.0,48.0,40.0,51.0,49.0,62.0,47.0
2020-05-12,54.0,46.0,47.0,58.0,56.0,43.0,56.0,50.0,47.0,60.0
2020-05-13,65.0,57.0,58.0,62.0,64.0,57.0,60.0,57.0,59.0,57.0
2020-05-14,66.0,61.0,58.0,64.0,63.0,52.0,62.0,64.0,62.0,61.0
2020-05-15,70.0,62.0,68.0,74.0,73.0,54.0,71.0,62.0,63.0,72.0
2020-05-16,69.0,72.0,63.0,69.0,67.0,57.0,58.0,74.0,71.0,69.0
2020-05-17,57.0,68.0,62.0,57.0,67.0,51.0,57.0,61.0,73.0,60.0
2020-05-18,60.0,58.0,58.0,60.0,57.0,53.0,53.0,61.0,60.0,60.0
2020-05-19,63.0,59.0,74.0,65.0,63.0,64.0,58.0,55.0,61.0,69.0
2020-05-20,73.0,68.0,73.0,69.0,71.0,73.0,68.0,66.0,66.0,65.0
2020-05-21,75.0,69.0,69.0,74.0,75.0,78.0,71.0,74.0,67.0,68.0
2020-05-22,68.0,74.0,77.0,71.0,69.0,79.0,74.0,,69.0,65.0
2020-05-23,80.0,70.0,74.0,76.0,79.0,72.0,75.0,77.0,68.0,72.0
2020-05-24,81.0,74.0,76.0,86.0,81.0,76.0,83.0,78.0,75.0,87.0
2020-05-25,84.0,85.0,87.0,87.0,86.0,86.0,87.0,86.0,86.0,85.0
2020-05-26,90.0,86.0,91.0,88.0,90.0,87.0,89.0,88.0,88.0,87.0
2020-05-27,83.0,89.0,90.0,85.0,87.0,83.0,86.0,92.0,90.0,80.0
2020-05-28,76.0,86.0,78.0,76.0,76.0,67.0,78.0,90.0,83.0,79.0
2020-05-29,68.0,75.0,70.0,72.0,70.0,59.0,70.0,80.0,80.0,74.0
2020-05-30,66.0,70.0,59.0,68.0,66.0,49.0,65.0,72.0,72.0,70.0
2020-05-31,62.0,66.0,65.0,64.0,64.0,69.0,64.0,66.0,70.0,65.0
2020-06-01,75.0,62.0,76.0,71.0,71.0,72.0,72.0,65.0,65.0,74.0
2020-06-02,86.0,73.0,91.0,88.0,85.0,87.0,87.0,75.0,73.0,89.0
2020-06-03,78.0,88.0,84.0,83.0,80.0,76.0,84.0,89.0,88.0,83.0
2020-06-04,80.0,82.0,77.0,84.0,84.0,80.0,85.0,85.0,82.0,84.0
2020-06-05,82.0,84.0,74.0,86.0,83.0,73.0,84.0,86.0,85.0,89.0
2020-06-06,76.0,84.0,65.0,80.0,78.0,57.0,76.0,86.0,87.0,83.0
2020-06-07,79.0,76.0,69.0,75.0,77.0,59.0,70.0,77.0,81.0,78.0
2020-06-08,88.0,78.0,91.0,83.0,86.0,86.0,83.0,74.0,78.0,81.0
2020-06-09,93.0,81.0,95.0,90.0,93.0,87.0,90.0,86.0,84.0,90.0
2020-06-10,83.0,90.0,81.0,88.0,83.0,72.0,88.0,94.0,91.0,91.0
2020-06-11,76.0,89.0,74.0,76.0,75.0,65.0,74.0,88.0,90.0,78.0
2020-06-12,74.0,74.0,58.0,70.0,69.0,52.0,69.0,75.0,76.0,74.0
2020-06-13,69.0,67.0,65.0,66.0,66.0,60.0,62.0,75.0,74.0,68.0
2020-06-14,72.0,64.0,71.0,70.0,71.0,69.0,66.0,66.0,68.0,70.0
2020-06-15,77.0,69.0,78.0,76.0,76.0,75.0,72.0,68.0,72.0,76.0
2020-06-16,81.0,76.0,84.0,83.0,82.0,84.0,80.0,74.0,78.0,82.0
2020-06-17,84.0,80.0,84.0,84.0,84.0,85.0,84.0,83.0,83.0,84.0
2020-06-18,86.0,82.0,88.0,87.0,86.0,86.0,85.0,87.0,85.0,87.0
2020-06-19,89.0,86.0,91.0,90.0,89.0,84.0,89.0,88.0,87.0,86.0
2020-06-20,90.0,87.0,89.0,93.0,90.0,64.0,90.0,90.0,87.0,90.0
2020-06-21,78.0,89.0,79.0,86.0,82.0,76.0,84.0,92.0,91.0,85.0
2020-06-22,87.0,85.0,75.0,86.0,85.0,69.0,86.0,85.0,82.0,83.0
2020-06-23,71.0,84.0,67.0,72.0,72.0,64.0,73.0,88.0,86.0,80.0
2020-06-24,74.0,73.0,74.0,77.0,74.0,71.0,75.0,75.0,77.0,77.0
2020-06-25,76.0,74.0,81.0,81.0,78.0,78.0,81.0,76.0,75.0,82.0
2020-06-26,79.0,79.0,86.0,84.0,81.0,83.0,84.0,82.0,80.0,84.0
2020-06-27,81.0,83.0,81.0,86.0,84.0,77.0,86.0,85.0,84.0,86.0
2020-06-28,87.0,84.0,79.0,86.0,84.0,80.0,86.0,86.0,86.0,87.0
2020-06-29,89.0,84.0,92.0,87.0,88.0,85.0,88.0,87.0,85.0,87.0
2020-06-30,89.0,86.0,93.0,87.0,88.0,87.0,87.0,91.0,87.0,87.0
2020-07-01,89.0,88.0,87.0,88.0,88.0,88.0,87.0,89.0,89.0,87.0
2020-07-02,91.0,88.0,92.0,93.0,91.0,87.0,93.0,89.0,88.0,90.0
2020-07-03,87.0,90.0,88.0,95.0,92.0,85.0,94.0,94.0,90.0,94.0
2020-07-04,90.0,90.0,90.0,89.0,89.0,89.0,89.0,90.0,92.0,90.0
2020-07-05,87.0,91.0,92.0,93.0,91.0,84.0,93.0,92.0,90.0,91.0
2020-07-06,89.0,91.0,95.0,94.0,92.0,89.0,94.0,94.0,91.0,92.0
2020-07-07,90.0,93.0,91.0,95.0,92.0,81.0,92.0,95.0,91.0,95.0
2020-07-08,89.0,93.0,92.0,94.0,89.0,85.0,91.0,93.0,93.0,92.0
2020-07-09,90.0,92.0,94.0,95.0,92.0,85.0,95.0,94.0,93.0,92.0
2020-07-10,80.0,93.0,78.0,81.0,80.0,78.0,82.0,95.0,93.0,87.0
2020-07-11,82.0,80.0,84.0,86.0,83.0,73.0,85.0,81.0,83.0,86.0
2020-07-12,78.0,81.0,74.0,82.0,80.0,70.0,80.0,86.0,84.0,83.0
2020-07-13,77.0,83.0,80.0,81.0,80.0,77.0,83.0,80.0,82.0,82.0
2020-07-14,84.0,78.0,84.0,84.0,82.0,69.0,84.0,84.0,80.0,84.0
2020-07-15,87.0,82.0,81.0,88.0,86.0,76.0,87.0,85.0,86.0,87.0
2020-07-16,78.0,86.0,80.0,79.0,82.0,82.0,79.0,89.0,90.0,80.0
2020-07-17,84.0,76.0,89.0,87.0,85.0,81.0,86.0,80.0,78.0,86.0
2020-07-18,92.0,84.0,91.0,91.0,90.0,86.0,90.0,87.0,87.0,90.0
2020-07-19,84.0,88.0,84.0,83.0,81.0,78.0,82.0,91.0,91.0,85.0
2020-07-20,79.0,82.0,73.0,84.0,81.0,64.0,82.0,82.0,85.0,86.0
2020-07-21,82.0,81.0,75.0,83.0,82.0,66.0,78.0,84.0,85.0,83.0
2020-07-22,81.0,80.0,83.0,84.0,82.0,58.0,85.0,81.0,85.0,84.0
2020-07-23,83.0,84.0,79.0,84.0,81.0,72.0,77.0,85.0,84.0,85.0
2020-07-24,85.0,84.0,86.0,83.0,83.0,81.0,79.0,81.0,83.0,85.0
2020-07-25,85.0,80.0,91.0,88.0,86.0,90.0,86.0,83.0,84.0,87.0
2020-07-26,92.0,85.0,92.0,93.0,91.0,80.0,91.0,88.0,89.0,91.0
2020-07-27,80.0,91.0,83.0,87.0,81.0,77.0,85.0,93.0,91.0,86.0
2020-07-28,82.0,85.0,84.0,85.0,83.0,76.0,84.0,89.0,86.0,86.0
2020-07-29,84.0,84.0,80.0,86.0,84.0,71.0,82.0,89.0,85.0,86.0
2020-07-30,84.0,83.0,79.0,81.0,81.0,73.0,80.0,,86.0,83.0
2020-07-31,82.0,79.0,79.0,82.0,81.0,74.0,80.0,82.0,84.0,77.0
2020-08-01,79.0,80.0,84.0,77.0,77.0,80.0,77.0,82.0,85.0,81.0
2020-08-02,78.0,78.0,81.0,77.0,78.0,65.0,76.0,80.0,79.0,75.0
2020-08-03,76.0,78.0,67.0,79.0,76.0,62.0,73.0,76.0,74.0,84.0
2020-08-04,71.0,75.0,71.0,71.0,72.0,60.0,68.0,74.0,83.0,76.0
2020-08-05,75.0,66.0,76.0,76.0,75.0,72.0,74.0,69.0,72.0,75.0
2020-08-06,79.0,74.0,82.0,78.0,78.0,79.0,77.0,75.0,76.0,79.0
2020-08-07,84.0,73.0,85.0,81.0,81.0,80.0,80.0,81.0,79.0,81.0
2020-08-08,85.0,79.0,76.0,83.0,83.0,79.0,81.0,84.0,82.0,84.0
2020-08-09,90.0,81.0,89.0,89.0,88.0,87.0,88.0,83.0,83.0,90.0
2020-08-10,87.0,87.0,89.0,89.0,87.0,75.0,88.0,90.0,89.0,89.0
2020-08-11,80.0,86.0,84.0,83.0,82.0,81.0,82.0,90.0,90.0,87.0
2020-08-12,86.0,80.0,89.0,88.0,85.0,84.0,86.0,,83.0,85.0
2020-08-13,87.0,85.0,83.0,85.0,85.0,78.0,85.0,88.0,86.0,87.0
2020-08-14,90.0,85.0,91.0,87.0,87.0,84.0,84.0,90.0,86.0,86.0
2020-08-15,85.0,85.0,84.0,90.0,86.0,74.0,83.0,89.0,86.0,88.0
2020-08-16,83.0,86.0,81.0,82.0,82.0,73.0,81.0,87.0,89.0,83.0
2020-08-17,81.0,77.0,80.0,84.0,82.0,68.0,82.0,81.0,80.0,83.0
2020-08-18,77.0,79.0,73.0,79.0,77.0,65.0,76.0,83.0,81.0,77.0
2020-08-19,80.0,74.0,77.0,78.0,78.0,71.0,77.0,76.0,76.0,78.0
