,Allegan,Genesee,Grand Traverse,Ingham,Kent,Marquette,Midland,Saginaw,Washtenaw,Wayne
2020-03-01,25.0,19.0,25.0,21.0,21.0,21.0,23.0,19.0,13.0,18.0
2020-03-02,29.0,25.0,28.0,36.0,26.0,14.0,33.0,24.0,14.0,39.0
2020-03-03,27.0,28.0,26.0,30.0,27.0,14.0,26.0,26.0,27.0,31.0
2020-03-04,26.0,31.0,25.0,26.0,24.0,16.0,29.0,30.0,26.0,31.0
2020-03-05,25.0,21.0,24.0,22.0,23.0,16.0,23.0,22.0,20.0,25.0
2020-03-06,26.0,28.0,20.0,25.0,25.0,4.0,26.0,28.0,20.0,30.0
2020-03-07,20.0,17.0,16.0,18.0,17.0,13.0,18.0,18.0,17.0,22.0
2020-03-08,35.0,20.0,36.0,35.0,37.0,30.0,32.0,19.0,17.0,33.0
2020-03-09,46.0,28.0,33.0,49.0,45.0,17.0,46.0,34.0,33.0,47.0
2020-03-10,30.0,28.0,29.0,32.0,32.0,17.0,33.0,34.0,41.0,35.0
2020-03-11,32.0,30.0,31.0,31.0,32.0,26.0,32.0,33.0,29.0,33.0
2020-03-12,31.0,35.0,38.0,38.0,37.0,31.0,38.0,35.0,33.0,38.0
2020-03-13,36.0,37.0,33.0,32.0,31.0,21.0,33.0,38.0,38.0,35.0
2020-03-14,32.0,25.0,28.0,27.0,28.0,17.0,28.0,29.0,30.0,31.0
2020-03-15,27.0,22.0,18.0,24.0,25.0,15.0,26.0,26.0,28.0,29.0
2020-03-16,25.0,20.0,25.0,20.0,23.0,21.0,20.0,21.0,22.0,25.0
2020-03-17,27.0,20.0,28.0,29.0,28.0,18.0,35.0,21.0,23.0,36.0
2020-03-18,28.0,28.0,28.0,28.0,27.0,22.0,31.0,30.0,27.0,32.0
2020-03-19,34.0,29.0,32.0,27.0,31.0,29.0,30.0,30.0,29.0,40.0
2020-03-20,26.0,29.0,24.0,26.0,25.0,3.0,25.0,31.0,39.0,30.0
2020-03-21,23.0,23.0,17.0,21.0,19.0,-5.0,18.0,20.0,25.0,25.0
2020-03-22,22.0,17.0,19.0,18.0,20.0,10.0,16.0,16.0,17.0,21.0
2020-03-23,29.0,17.0,27.0,30.0,29.0,21.0,29.0,17.0,18.0,32.0
