,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2020-03-01,18.8,61.84,87.92,77.91,45.78,72.56
2020-03-02,24.62,87.6,119.8,103.99,58.61,100.76
2020-03-03,22.16,90.15,122.59,103.63,56.72,97.42
2020-03-04,25.57,97.8,121.3,99.73,60.86,101.19
2020-03-05,22.05,93.71,113.99,93.68,56.0,100.54
2020-03-06,23.87,94.18,126.89,104.17,54.3,108.76
2020-03-07,23.75,99.11,111.81,100.45,57.67,93.38
2020-03-08,24.24,68.01,98.77,79.79,50.63,78.58
2020-03-09,50.91,87.42,128.19,100.76,86.63,98.63
2020-03-10,58.09,94.42,120.89,101.88,96.52,101.83
2020-03-11,36.38,85.1,105.12,91.35,78.51,93.78
2020-03-12,27.42,77.15,104.3,86.92,67.71,85.99
2020-03-13,26.4,77.74,98.43,89.16,59.12,85.88
2020-03-14,23.68,68.43,81.23,68.59,42.48,73.06
2020-03-15,14.3,46.71,80.27,62.54,34.22,64.68
2020-03-16,18.53,57.03,85.8,70.39,34.36,71.52
2020-03-17,15.54,58.58,71.26,67.43,32.04,54.96
2020-03-18,14.26,44.69,68.67,50.13,27.51,54.78
2020-03-19,12.97,46.47,67.65,46.24,23.89,53.95
2020-03-20,11.16,45.16,61.84,52.46,24.54,58.97
2020-03-21,10.44,36.32,55.49,47.04,18.81,47.94
2020-03-22,8.85,32.76,51.81,39.43,13.66,43.94
2020-03-23,8.47,39.05,63.55,42.47,16.38,44.29
2020-03-24,6.73,34.01,42.8,43.23,15.66,38.73
2020-03-25,7.94,33.23,53.99,45.79,18.48,44.33
2020-03-26,6.32,32.05,45.12,41.85,16.64,39.36
2020-03-27,6.54,28.96,48.12,48.7,15.19,39.3
2020-03-28,5.41,22.91,41.5,37.14,15.73,33.08
2020-03-29,5.56,16.2,40.14,29.93,11.09,34.65
2020-03-30,5.48,24.81,48.4,37.05,14.06,41.05
2020-03-31,5.22,27.24,49.08,40.19,15.98,39.56
2020-04-01,8.25,27.06,49.49,40.1,12.65,39.56
2020-04-02,8.47,29.73,49.15,42.56,14.28,37.85
2020-04-03,8.28,30.92,50.44,40.5,16.2,40.52
2020-04-04,5.86,23.32,44.85,34.5,12.32,36.78
2020-04-05,7.22,25.16,37.68,36.69,11.53,31.36
2020-04-06,8.62,27.42,56.18,40.99,12.9,38.84
2020-04-07,8.81,29.26,45.19,35.84,12.58,34.91
