,Genesee,Ingham,Isabella,Kalamazoo,Kent,Macomb,Oakland,Ottawa,Washtenaw,Wayne
2020-03-01,107.71,24.92,27.51,79.94,107.21,95.87,104.93,88.02,47.6,113.44
2020-03-02,122.68,27.23,32.26,97.43,98.69,106.25,113.36,101.63,52.76,115.31
2020-03-03,116.69,29.96,34.2,87.82,99.11,112.56,117.93,88.09,51.35,120.13
2020-03-04,118.15,32.81,36.14,98.49,117.05,112.03,118.92,96.67,53.97,125.62
2020-03-05,132.8,31.19,31.66,103.58,136.93,115.13,130.71,97.12,62.02,142.29
2020-03-06,136.62,32.73,28.78,121.9,152.07,130.83,150.39,129.66,64.27,190.64
2020-03-07,161.72,40.71,27.44,167.37,204.7,150.74,187.16,160.5,92.53,209.16
2020-03-08,103.63,40.97,16.4,98.32,140.41,108.43,117.23,102.29,91.51,134.12
2020-03-09,125.1,54.4,22.02,99.78,100.3,120.76,113.14,102.14,82.47,117.14
2020-03-10,122.42,66.9,18.94,127.71,129.77,128.43,130.45,126.11,110.89,131.09
2020-03-11,111.4,47.8,14.06,96.03,120.28,99.45,112.37,110.5,76.26,109.04
2020-03-12,117.2,38.61,15.06,109.72,134.81,101.44,110.57,107.54,78.25,107.21
2020-03-13,129.43,39.98,17.14,129.39,112.52,111.68,120.68,130.33,82.58,122.65
2020-03-14,112.04,39.78,16.27,160.84,132.64,102.6,112.18,119.45,74.55,119.28
2020-03-15,94.65,23.3,17.27,76.59,71.93,84.58,84.54,83.14,49.82,89.03
2020-03-16,113.95,24.94,16.73,83.18,73.29,91.05,83.87,75.44,40.0,83.02
2020-03-17,102.68,31.33,24.23,81.79,76.39,91.66,91.59,82.91,43.18,88.35
2020-03-18,100.96,21.41,15.86,67.21,69.77,83.87,81.16,76.33,32.91,74.87
2020-03-19,102.04,19.23,12.25,67.04,63.64,82.62,77.87,77.59,32.67,74.59
2020-03-20,100.7,20.81,11.31,71.84,70.23,94.52,82.97,78.11,35.46,83.54
2020-03-21,88.03,17.05,13.59,69.11,65.96,79.21,74.06,80.03,29.45,71.4
2020-03-22,76.88,14.58,9.57,44.58,48.82,57.69,56.03,68.71,23.63,55.12
2020-03-23,90.0,16.92,10.78,61.79,60.53,77.05,66.45,68.93,27.89,60.57
2020-03-24,75.73,14.36,9.1,50.39,55.88,62.23,62.84,71.38,22.65,52.04
2020-03-25,79.94,18.19,12.65,60.34,60.05,76.62,82.24,88.39,28.71,62.23
2020-03-26,74.9,17.06,9.37,49.39,54.37,69.48,66.31,67.75,25.08,55.98
2020-03-27,76.88,17.93,12.58,62.35,61.71,73.78,71.2,73.96,26.85,60.9
2020-03-28,68.41,13.61,8.37,52.74,41.7,53.71,51.66,55.99,21.63,49.6
2020-03-29,61.53,12.36,8.77,39.61,38.86,57.03,54.45,47.49,20.34,48.05
2020-03-30,68.34,15.56,9.97,48.83,50.79,65.81,58.39,61.39,27.05,53.59
2020-03-31,72.17,16.11,11.11,53.07,48.1,64.35,59.81,61.17,23.35,53.94
2020-04-01,73.76,19.46,11.45,60.22,58.4,69.39,68.51,72.41,22.85,58.24
2020-04-02,89.87,22.85,16.73,75.42,78.68,88.39,91.95,87.2,32.19,70.11
2020-04-03,95.73,23.4,15.6,73.85,72.93,91.03,94.5,91.27,34.94,72.92
2020-04-04,81.46,15.33,8.5,53.63,48.17,70.77,69.51,56.43,27.4,59.4
2020-04-05,82.8,18.4,10.78,54.19,64.18,73.21,73.4,82.03,29.16,56.37
2020-04-06,97.45,20.94,14.86,61.4,64.82,79.85,75.92,86.09,28.67,60.4
2020-04-07,81.78,21.96,10.71,69.5,61.84,70.81,74.31,80.84,26.91,58.83
2020-04-08,90.83,22.33,17.27,75.47,63.47,101.13,95.24,83.06,32.11,75.38
2020-04-09,92.8,14.72,10.58,53.58,53.14,69.13,66.83,68.86,24.79,61.41
2020-04-10,86.05,17.41,12.12,59.33,60.15,76.42,66.76,71.82,25.04,60.7
2020-04-11,79.94,17.71,10.91,67.32,68.2,78.49,82.7,82.03,28.44,66.13
2020-04-12,60.13,11.83,7.5,46.54,44.83,50.65,54.04,53.62,21.3,47.48
2020-04-13,74.78,14.98,18.34,54.3,48.25,69.41,53.7,69.6,23.36,56.12
2020-04-14,81.97,15.13,12.52,49.66,49.63,71.94,68.59,59.39,26.13,58.66
2020-04-15,76.94,20.21,10.71,55.92,52.15,67.73,60.86,53.25,24.87,58.41
2020-04-16,79.43,15.95,12.25,61.79,56.96,75.26,67.81,62.57,26.12,64.98
2020-04-17,83.95,14.78,14.06,57.49,58.64,72.69,65.06,79.66,21.51,58.62
2020-04-18,85.41,17.4,13.99,71.17,72.65,83.95,86.67,85.06,29.62,70.49
2020-04-19,92.42,18.53,13.45,67.43,65.52,71.18,75.12,90.38,29.78,62.61
2020-04-20,101.97,19.08,14.73,72.63,69.35,85.54,85.33,112.72,30.57,75.66
2020-04-21,77.26,16.03,13.25,60.61,52.03,69.1,66.35,69.23,21.78,62.15
2020-04-22,86.43,14.53,15.26,63.63,53.83,74.28,66.39,63.24,21.07,62.43
2020-04-23,76.11,17.49,10.37,71.56,61.0,72.29,68.29,72.41,23.41,64.61
2020-04-24,95.99,18.91,10.98,81.9,68.92,94.69,92.4,85.06,27.92,77.21
2020-04-25,82.99,17.76,13.72,66.03,67.17,97.07,94.91,78.4,31.42,74.46
2020-04-26,80.76,18.63,17.14,73.46,70.38,78.65,80.13,102.51,29.25,67.28
2020-04-27,113.18,19.75,18.47,72.51,71.19,100.13,99.57,93.79,32.71,81.86
2020-04-28,119.24,25.33,18.34,83.85,86.54,111.64,108.32,112.5,34.71,89.9
2020-04-29,108.85,16.72,13.05,74.25,60.97,88.8,84.89,76.48,27.32,76.32
2020-04-30,118.92,19.94,13.92,77.49,68.33,95.33,85.25,89.35,25.98,79.47
2020-05-01,137.01,26.13,24.36,111.06,94.88,129.54,128.64,128.62,40.73,102.59
2020-05-02,108.28,25.99,25.77,99.11,90.42,117.05,119.72,131.8,40.52,101.79
2020-05-03,112.48,22.55,16.0,81.45,74.55,109.3,111.33,132.03,38.54,93.93
2020-05-04,117.01,22.97,15.33,86.54,92.93,108.63,107.6,124.19,34.83,92.99
2020-05-05,125.48,21.42,19.41,85.81,81.89,110.31,102.94,113.61,30.39,89.6
2020-05-06,129.04,22.07,19.28,99.27,95.23,126.27,120.09,115.24,36.24,102.73
2020-05-07,134.39,23.84,24.36,101.79,97.03,121.37,125.22,139.35,39.57,103.0
2020-05-08,129.55,21.98,24.97,100.5,101.44,121.85,113.91,123.37,35.92,100.27
2020-05-09,127.2,18.82,22.36,98.04,89.75,114.67,109.33,137.8,32.58,100.09
2020-05-10,108.92,15.24,13.92,68.32,54.44,95.22,83.21,72.04,23.35,79.78
2020-05-11,119.75,19.45,15.26,85.42,90.52,109.37,105.36,108.65,30.23,84.49
2020-05-12,107.77,18.47,14.79,78.44,80.01,100.52,96.8,101.26,26.27,82.88
2020-05-13,172.1,29.08,26.64,127.37,115.12,146.99,153.89,159.69,44.65,126.87
2020-05-14,134.9,25.32,21.02,96.31,99.48,126.75,113.53,107.47,32.51,107.21
2020-05-15,168.03,30.98,23.49,130.78,127.42,159.24,146.54,165.01,45.03,130.31
2020-05-16,162.93,29.73,27.64,129.39,114.31,171.01,167.06,191.79,49.04,147.63
2020-05-17,138.66,22.86,18.61,80.34,68.33,111.11,99.61,94.38,32.7,99.72
2020-05-18,136.94,29.54,23.56,105.7,113.32,133.78,115.82,111.32,35.23,107.26
2020-05-19,172.17,33.17,26.84,117.43,119.46,155.61,146.07,155.92,42.49,130.03
2020-05-20,191.21,36.28,30.46,143.24,135.23,181.73,176.29,173.74,52.08,147.67
2020-05-21,212.74,32.49,28.51,127.04,139.3,181.72,181.07,178.11,51.87,149.3
2020-05-22,207.32,35.59,30.05,138.88,131.28,170.63,165.25,166.57,51.03,145.7
2020-05-23,188.15,30.95,26.71,130.39,107.43,176.2,164.3,188.76,55.58,159.25
2020-05-24,179.94,28.45,22.76,105.25,94.05,151.4,142.49,164.05,45.63,143.17
2020-05-25,161.66,24.56,23.29,104.92,96.59,160.7,130.51,147.86,40.57,138.64
2020-05-26,194.52,30.79,27.24,126.15,122.65,182.29,173.63,164.79,48.7,153.94
2020-05-27,213.25,33.19,28.05,124.19,118.2,184.37,187.79,151.11,53.05,174.83
2020-05-28,199.11,32.18,25.7,141.4,133.18,179.37,176.42,173.0,51.3,152.67
2020-05-29,208.15,37.44,33.0,151.96,137.97,184.1,192.52,191.57,54.09,178.55
2020-05-30,197.07,37.13,29.99,146.98,161.37,181.73,187.04,180.1,60.8,177.38
2020-05-31,181.15,34.45,21.82,97.43,100.37,155.48,150.73,147.63,50.72,139.0
2020-06-01,215.73,34.42,31.33,134.69,133.89,180.07,176.91,146.45,56.2,146.09
2020-06-02,225.92,34.15,29.25,121.17,135.64,200.77,187.62,177.81,61.16,160.01
2020-06-03,202.29,36.11,32.2,125.47,146.61,188.38,183.24,169.3,53.42,165.89
2020-06-04,217.26,36.54,27.71,132.68,149.98,216.05,198.59,198.0,61.89,165.08
2020-06-05,232.93,38.48,36.28,164.3,158.74,223.45,221.75,214.57,64.78,181.08
2020-06-06,205.03,34.63,31.73,148.27,129.18,206.99,198.87,253.33,70.79,195.66
2020-06-07,174.59,28.34,24.56,104.92,98.4,170.63,168.31,165.31,57.39,151.45
2020-06-08,225.61,36.85,26.77,145.42,152.87,200.15,196.36,188.31,61.65,162.72
2020-06-09,201.53,35.61,28.11,147.88,136.59,209.48,198.15,190.83,64.78,165.89
2020-06-10,196.31,39.36,28.31,140.89,136.53,181.86,171.84,165.38,54.81,151.67
2020-06-11,224.01,40.49,40.23,162.18,166.11,221.49,218.63,212.13,74.54,185.23
2020-06-12,233.82,44.22,37.01,169.11,176.85,229.67,238.57,249.85,81.91,192.84
2020-06-13,219.68,44.06,34.4,153.3,168.57,214.46,224.0,244.38,90.68,195.29
2020-06-14,166.37,34.81,27.64,117.54,118.62,175.04,175.29,171.45,69.77,167.18
2020-06-15,213.63,40.91,29.99,158.16,160.67,213.69,209.18,215.53,74.41,173.99
2020-06-16,227.07,37.59,31.59,154.13,161.19,209.3,217.24,220.27,75.64,176.6
2020-06-17,219.68,42.93,33.4,165.2,166.28,218.86,226.55,220.41,73.98,188.74
2020-06-18,237.45,43.91,34.54,153.13,180.28,227.51,229.15,235.95,77.69,185.6
2020-06-19,279.04,47.73,39.76,193.85,196.56,242.47,254.98,283.8,96.16,234.04
2020-06-20,233.57,39.36,32.93,166.09,164.13,238.58,245.69,304.44,94.28,231.2
2020-06-21,199.11,27.65,22.02,106.31,106.25,159.11,159.23,155.1,56.71,167.16
2020-06-22,234.33,37.5,28.98,142.12,163.84,217.34,213.13,198.0,74.36,170.68
2020-06-23,230.0,38.35,30.86,163.69,168.58,214.39,213.18,225.07,75.26,178.18
2020-06-24,245.35,42.52,37.95,174.02,192.41,235.37,238.28,254.44,88.79,198.04
